,name,accuracy_train,accuracy_test,precision_test,recall_test,roc_test,fn_test,fp_test,accuracy_val,precision_val,recall_val,roc_val,fn_val,fp_val,score
0,Naive Bayes Stop Count TFIDF,0.8042417755149565,0.7613564946328465,0.7698952541057804,0.7468700604661666,0.7613849559276501,10089,8897,0.7910863509749304,0.8022598870056498,0.7802197802197802,0.7912398336127149,40,35,1
1,Naive Bayes Stop TFIDF Vectorizer,0.7680367085123949,0.7608160084466679,0.7633522152538944,0.7573575532528791,0.7608228032252657,9671,9358,0.7994428969359332,0.8197674418604651,0.7747252747252747,0.7997920158937107,41,31,0
2,Naive Bayes Stop TFIDF Ngrams,0.7835244352943667,0.7720530933407074,0.7727797870202934,0.7719848458238202,0.7720532274256502,9088,9047,0.8245125348189415,0.8181818181818182,0.8406593406593407,0.8242844725895574,29,34,2
3,Naive Bayes Stop TFIDF Trigrams,0.7679897379173106,0.7608411473390483,0.7633508647719227,0.757432822339865,0.7608478436275532,9668,9359,0.7994428969359332,0.8197674418604651,0.7747252747252747,0.7997920158937107,41,31,0
4,Naive Bayes Stop TFIDF No CV,0.8042417755149565,0.7613564946328465,0.7698952541057804,0.7468700604661666,0.7613849559276501,10089,8897,0.7910863509749304,0.8022598870056498,0.7802197802197802,0.7912398336127149,40,35,1
5,Naive Bayes Lemm Count TFIDF,0.7971868727790753,0.7544996038084697,0.7601920312179092,0.7442006584734474,0.7545088090191902,10178,9341,0.7910863509749304,0.8092485549132948,0.7692307692307693,0.7913950456323338,42,33,0
6,Naive Bayes Lemm TFIDF Vectorizer,0.7600805490682045,0.7542103211038022,0.754813863928113,0.7536756389957023,0.7542107990033651,9801,9741,0.7966573816155988,0.8114285714285714,0.7802197802197802,0.7968895511268392,40,33,0
7,Naive Bayes Lemm TFIDF Ngrams,0.7760480381721028,0.7641591306425849,0.7630670734757165,0.7668451079444067,0.7641567299125831,9277,9474,0.8133704735376045,0.8212290502793296,0.8076923076923077,0.8134506736201652,35,32,0
8,Naive Bayes Lemm TFIDF Trigrams,0.7600805490682045,0.7542103211038022,0.754813863928113,0.7536756389957023,0.7542107990033651,9801,9741,0.7966573816155988,0.8114285714285714,0.7802197802197802,0.7968895511268392,40,33,0
9,Naive Bayes Lemm TFIDF No CV,0.7971868727790753,0.7544996038084697,0.7601920312179092,0.7442006584734474,0.7545088090191902,10178,9341,0.7910863509749304,0.8092485549132948,0.7692307692307693,0.7913950456323338,42,33,0
10,Logistic Regression Stop TFIDF Ngrams,0.8085452082054322,0.7852635812866086,0.7774691132392719,0.8004867400958426,0.7852336725591931,7952,9132,0.8328690807799443,0.8388888888888889,0.8296703296703297,0.8329142608803627,31,29,4
11,Logistic Regression Stop TFIDF Ngrams Limited,0.8066419067679996,0.7886950400965334,0.7807338108463675,0.8040243871841835,0.7886649227424909,7811,9000,0.8245125348189415,0.8287292817679558,0.8241758241758241,0.8245172906189855,32,31,3
12,Logistic Regression Lemm TFIDF No CV,0.8037125293731608,0.7792176776691219,0.7723718293338546,0.7930100107885691,0.7791905800649479,8250,9315,0.7827298050139275,0.7826086956521741,0.7912087912087912,0.7826100453219097,38,40,0
13,Logistic Regression Lemm Count Ngrams,0.5375485227375032,0.5376885054146175,0.5241624430206241,0.8265349719771796,0.5374303340675465,6902,29855,0.4986072423398329,0.5034246575342466,0.8076923076923077,0.4942416340721426,35,145,2
