positivity,team
0.7198292588280947,Anaheim Ducks
0.7011000804936947,Los Angeles Kings
0.6995094031071136,Detroit Red Wings
0.6976284584980237,Nashville Predators
0.6971703792895846,Colorado Avalanche
0.6919409412488465,Vegas Golden Knights
0.6909502262443439,Arizona Coyotes
0.689942996742671,Pittsburgh Penguins
0.6874066699850672,Dallas Stars
0.6873471882640587,Carolina Hurricanes
0.6763506625891947,Minnesota Wild
0.6734441301272984,Philadelphia Flyers
0.6703848298940324,Winnipeg Jets
0.663791289711761,Columbus Blue Jackets
0.6608665390638594,San Jose Sharks
0.650761421319797,Tampa Bay Lightning
0.648604603788959,Boston Bruins
0.6482917025552685,Washington Capitals
0.6230703259005146,St. Louis Blues
0.6156779661016949,Toronto Maple Leafs
0.6138907927804432,New York Rangers
0.6131618968616065,New York Islanders
0.6114044350580782,Vancouver Canucks
0.6078629032258065,Florida Panthers
0.5975584087560514,Buffalo Sabres
0.5857630680325716,Calgary Flames
0.5829853862212944,Montreal Canadiens
0.5734605689593086,Ottawa Senators
0.5709179834462002,Chicago Blackhawks
0.5669099756690997,Edmonton Oilers
0.5542290230368253,New Jersey Devils
