positivity,team
0.670547147846333,Anaheim Ducks
0.653072176012879,Los Angeles Kings
0.6524938675388389,Detroit Red Wings
0.649031067363888,Vegas Golden Knights
0.6415036674816625,Carolina Hurricanes
0.6406758957654723,Pittsburgh Penguins
0.6387718242022877,Colorado Avalanche
0.6378795420607267,Dallas Stars
0.6269448373408769,Philadelphia Flyers
0.6226244343891403,Arizona Coyotes
0.6208710288239007,Columbus Blue Jackets
0.6195208970438328,Minnesota Wild
0.6110671936758894,Nashville Predators
0.6072351421188631,Washington Capitals
0.6069253523577519,San Jose Sharks
0.6017847183491355,Winnipeg Jets
0.580566306783459,Boston Bruins
0.5791166380789022,St. Louis Blues
0.574480237605666,New York Rangers
0.5744504355039403,New York Islanders
0.5676906779661017,Toronto Maple Leafs
0.5676572635389954,Vancouver Canucks
0.5584677419354839,Florida Panthers
0.5552515259945274,Buffalo Sabres
0.5551496172581768,Montreal Canadiens
0.5539763113367174,Tampa Bay Lightning
0.5397951142631994,Calgary Flames
0.5279078141879726,Ottawa Senators
0.5214299082912222,Edmonton Oilers
0.5116629044394282,Chicago Blackhawks
0.508827980494367,New Jersey Devils
